Date,timestamp,Temp Out,Hi Temp,Low Temp,Out Hum,Dew Pt.,Wind Speed,Wind Dir,Wind Run,Hi Speed,Hi Dir,Wind Chill,Bar,Rain,Rain Rate,In Temp,In Hum,In Dew,Wind Samp,Arc.Int.,dew_point_outside_high,dew_point_outside_low,minutes_past_midnight,rain_amount_clicks,rain_collector_type,rain_rate_clicks,temperature_outside_F,temperature_wet_bulb,temperature_wet_bulb_high,temperature_wet_bulb_low,wind_chill_high,wind_chill_low,wind_direction_prevailing_degrees,wind_direction_speed_high_degrees
2024-11-01 04:30:00,1730424600,2.666666666666666666666666667,2.722222222222222222222222222,2.666666666666666666666666667,88.0,33.6,1.33,SSE,1.20,2.67,SSE,34.7,758.88,0.01,0.05,17.00,37.0,3.90,350,15,33.7,33.6,270,1,inches_0_01,5,36.8,35.5,35.6,35.5,34.8,31.9,157.50,157.50
2024-11-01 04:45:00,1730425500,2.777777777777777777777777778,2.777777777777777777777777778,2.666666666666666666666666667,89.0,34.1,1.33,S,1.20,3.11,SSE,34.9,758.72,0.00,0.00,17.06,37.0,3.90,349,15,34.1,33.9,285,0,inches_0_01,0,37.0,35.8,35.8,35.6,34.9,31.2,180.00,157.50
2024-11-01 05:00:00,1730426400,2.777777777777777777777777778,2.833333333333333333333333333,2.777777777777777777777777778,88.0,33.8,0.89,S,0.80,2.67,S,36.4,758.34,0.01,0.00,17.17,37.0,4.10,350,15,33.9,33.8,300,1,inches_0_01,0,37.0,35.6,35.7,35.6,36.5,32.1,180.00,180.00
2024-11-01 05:15:00,1730427300,2.666666666666666666666666667,2.777777777777777777777777778,2.666666666666666666666666667,89.0,33.9,0.89,S,0.80,1.78,SSE,36.2,758.06,0.01,0.04,17.00,37.0,3.90,348,15,34.1,33.9,315,1,inches_0_01,4,36.8,35.6,35.8,35.6,36.4,33.6,180.00,157.50
2024-11-01 05:30:00,1730428200,2.555555555555555555555555556,2.666666666666666666666666667,2.555555555555555555555555556,89.0,33.7,0.89,S,0.80,2.22,SSE,36.0,757.83,0.01,0.04,17.11,37.0,4.00,351,15,33.9,33.7,330,1,inches_0_01,4,36.6,35.4,35.6,35.4,36.2,32.4,180.00,157.50
2024-11-01 05:45:00,1730429100,2.5,2.611111111111111111111111111,2.444444444444444444444444444,89.0,33.6,0.89,S,0.80,1.78,SSE,35.9,757.76,0.00,0.00,17.17,37.0,4.10,350,15,33.8,33.5,345,0,inches_0_01,0,36.5,35.3,35.5,35.2,36.1,33.1,180.00,157.50
2024-11-01 06:00:00,1730430000,2.5,2.5,2.444444444444444444444444444,89.0,33.6,0.89,S,0.80,3.56,SSE,35.9,757.45,0.01,0.00,17.06,38.0,4.60,350,15,33.6,33.5,360,1,inches_0_01,0,36.5,35.3,35.3,35.2,35.9,30.2,180.00,157.50
2024-11-01 06:15:00,1730430900,2.5,2.555555555555555555555555556,2.5,89.0,33.6,0.89,S,0.80,3.11,SSW,35.9,757.17,0.01,0.00,17.17,38.0,4.80,351,15,33.7,33.6,375,1,inches_0_01,0,36.5,35.3,35.4,35.3,36.0,30.9,180.00,202.50
2024-11-01 06:30:00,1730431800,2.5,2.555555555555555555555555556,2.5,89.0,33.6,0.89,S,0.80,3.11,S,35.9,756.72,0.00,0.00,17.17,38.0,4.80,349,15,33.7,33.6,390,0,inches_0_01,0,36.5,35.3,35.4,35.3,36.0,30.9,180.00,180.00
2024-11-01 06:45:00,1730432700,2.555555555555555555555555556,2.611111111111111111111111111,2.5,90.0,33.9,0.89,SSE,0.80,3.56,SSE,36.0,756.54,0.01,0.04,17.06,38.0,4.60,351,15,34.0,33.8,405,1,inches_0_01,4,36.6,35.5,35.6,35.4,36.1,30.3,157.50,157.50
2024-11-01 07:00:00,1730433600,2.666666666666666666666666667,2.666666666666666666666666667,2.555555555555555555555555556,90.0,34.1,0.89,S,0.80,2.22,SSE,36.2,756.26,0.00,0.00,17.17,38.0,4.80,350,15,34.1,33.9,420,0,inches_0_01,0,36.8,35.7,35.7,35.5,36.2,32.4,180.00,157.50
2024-11-01 07:15:00,1730434500,2.777777777777777777777777778,2.777777777777777777777777778,2.611111111111111111111111111,91.0,34.6,0.89,S,0.80,2.22,S,36.4,756.28,0.00,0.00,17.17,38.0,4.80,350,15,34.6,34.3,435,0,inches_0_01,0,37.0,36.0,36.0,35.7,36.4,32.5,180.00,180.00
2024-11-01 07:30:00,1730435400,2.944444444444444444444444444,2.944444444444444444444444444,2.777777777777777777777777778,91.0,34.9,0.89,SSE,0.80,2.67,SSE,36.7,756.06,0.00,0.00,17.11,38.0,4.70,352,15,34.9,34.6,450,0,inches_0_01,0,37.3,36.3,36.3,36.0,36.7,32.1,157.50,157.50
2024-11-01 07:45:00,1730436300,3.111111111111111111111111111,3.111111111111111111111111111,2.944444444444444444444444444,91.0,35.2,1.33,SSE,1.20,3.11,SE,35.6,755.85,0.00,0.00,17.17,38.0,4.80,349,15,35.2,34.9,465,0,inches_0_01,0,37.6,36.6,36.6,36.3,35.6,31.8,157.50,135.00
2024-11-01 08:00:00,1730437200,3.277777777777777777777777778,3.277777777777777777777777778,3.111111111111111111111111111,91.0,35.5,0.89,SSE,0.80,3.56,SSE,37.4,755.70,0.00,0.00,17.17,38.0,4.80,349,15,35.5,35.2,480,0,inches_0_01,0,37.9,36.9,36.9,36.6,37.4,31.6,157.50,157.50
2024-11-01 08:15:00,1730438100,3.444444444444444444444444444,3.444444444444444444444444444,3.277777777777777777777777778,91.0,35.8,1.33,SSE,1.20,4.00,SSE,36.3,755.57,0.00,0.00,17.17,39.0,5.50,348,15,35.8,35.5,495,0,inches_0_01,0,38.2,37.1,37.1,36.9,36.3,31.5,157.50,157.50
2024-11-01 08:30:00,1730439000,3.555555555555555555555555556,3.555555555555555555555555556,3.444444444444444444444444444,91.0,36.0,1.78,SSE,1.60,4.44,S,35.4,755.32,0.01,0.00,17.28,39.0,5.60,351,15,36.0,35.8,510,1,inches_0_01,0,38.4,37.3,37.3,37.1,35.4,31.4,157.50,180.00
2024-11-01 08:45:00,1730439900,3.777777777777777777777777778,3.777777777777777777777777778,3.555555555555555555555555556,91.0,36.4,1.33,SSE,1.20,3.11,S,37.0,755.12,0.00,0.00,17.22,39.0,5.50,349,15,36.4,36.0,525,0,inches_0_01,0,38.8,37.7,37.7,37.3,37.0,33.2,157.50,180.00
2024-11-01 09:00:00,1730440800,3.944444444444444444444444444,3.944444444444444444444444444,3.777777777777777777777777778,91.0,36.7,0.89,SSE,0.80,2.67,SSE,38.7,755.07,0.01,0.00,17.22,39.0,5.50,350,15,36.7,36.4,540,1,inches_0_01,0,39.1,38.0,38.0,37.7,38.7,34.3,157.50,157.50
2024-11-01 09:15:00,1730441700,4.111111111111111111111111111,4.111111111111111111111111111,3.944444444444444444444444444,91.0,37.0,1.33,SSE,1.20,2.67,SSE,37.6,754.76,0.01,0.00,17.33,39.0,5.70,350,15,37.0,36.7,555,1,inches_0_01,0,39.4,38.3,38.3,38.0,37.6,34.6,157.50,157.50
2024-11-01 09:30:00,1730442600,4.277777777777777777777777778,4.277777777777777777777777778,4.111111111111111111111111111,91.0,37.3,0.89,SSE,0.80,2.67,SSE,39.4,754.63,0.00,0.00,17.33,39.0,5.70,350,15,37.3,37.0,570,0,inches_0_01,0,39.7,38.6,38.6,38.3,39.4,35.0,157.50,157.50
2024-11-01 09:45:00,1730443500,4.388888888888888888888888889,4.444444444444444444444444444,4.277777777777777777777777778,91.0,37.5,1.33,SSE,1.20,3.11,SSE,38.2,754.51,0.01,0.00,17.17,40.0,6.10,349,15,37.6,37.3,585,1,inches_0_01,0,39.9,38.8,38.9,38.6,38.3,34.7,157.50,157.50
2024-11-01 10:00:00,1730444400,4.611111111111111111111111111,4.611111111111111111111111111,4.388888888888888888888888889,91.0,37.9,0.89,SSE,0.80,2.22,SSE,39.6,754.46,0.01,0.05,17.11,40.0,6.00,347,15,37.9,37.5,600,1,inches_0_01,5,40.3,39.2,39.2,38.8,39.6,36.3,157.50,157.50
2024-11-01 10:15:00,1730445300,4.722222222222222222222222222,4.722222222222222222222222222,4.555555555555555555555555556,91.0,38.1,0.44,SSE,0.40,1.78,SSE,,754.20,0.01,0.04,16.83,41.0,6.20,350,15,38.1,37.8,615,1,inches_0_01,4,40.5,39.4,39.4,39.1,,,157.50,157.50
2024-11-01 10:30:00,1730446200,4.888888888888888888888888889,4.888888888888888888888888889,4.722222222222222222222222222,91.0,38.4,0.44,SSE,0.40,1.78,SSE,,754.00,0.01,0.04,16.72,41.0,6.00,351,15,38.4,38.1,630,1,inches_0_01,4,40.8,39.7,39.7,39.4,,,157.50,157.50
2024-11-01 10:45:00,1730447100,5.0,5.0,4.888888888888888888888888889,91.0,38.6,0.44,SSE,0.40,1.78,S,,753.69,0.02,0.07,16.67,41.0,5.90,351,15,38.6,38.4,645,2,inches_0_01,7,41.0,39.9,39.9,39.7,,,157.50,180.00
2024-11-01 11:00:00,1730448000,5.111111111111111111111111111,5.166666666666666666666666667,5.0,92.0,39.0,0.00,SSE,,1.33,SSE,,753.44,0.02,0.09,16.50,42.0,6.30,350,15,39.1,38.8,660,2,inches_0_01,9,41.2,40.2,40.3,40.0,,,157.50,157.50
2024-11-01 11:15:00,1730448900,5.277777777777777777777777778,5.277777777777777777777777778,5.111111111111111111111111111,92.0,39.3,0.00,S,,0.89,SSW,,753.11,0.02,0.09,16.50,42.0,6.30,350,15,39.3,39.0,675,2,inches_0_01,9,41.5,40.5,40.5,40.2,,,180.00,202.50
2024-11-01 11:30:00,1730449800,5.333333333333333333333333333,5.333333333333333333333333333,5.222222222222222222222222222,92.0,39.4,0.00,SW,,0.44,SW,,752.73,0.01,0.09,16.50,42.0,6.30,350,15,39.4,39.2,690,1,inches_0_01,9,41.6,40.6,40.6,40.4,,,225.00,225.00
2024-11-01 11:45:00,1730450700,5.444444444444444444444444444,5.444444444444444444444444444,5.333333333333333333333333333,92.0,39.6,0.00,S,,1.33,SSE,,752.47,0.02,0.07,16.33,43.0,6.60,350,15,39.6,39.4,705,2,inches_0_01,7,41.8,40.8,40.8,40.6,,,180.00,157.50
2024-11-01 12:00:00,1730451600,5.555555555555555555555555556,5.555555555555555555555555556,5.444444444444444444444444444,92.0,39.8,0.00,SSW,,0.89,SSW,,752.09,0.02,0.07,16.33,43.0,6.60,349,15,39.8,39.6,720,2,inches_0_01,7,42.0,41.0,41.0,40.8,,,202.50,202.50
2024-11-01 12:15:00,1730452500,5.555555555555555555555555556,5.555555555555555555555555556,5.5,92.0,39.8,0.00,SW,,0.89,SW,,751.87,0.01,0.06,16.33,43.0,6.60,349,15,39.8,39.7,735,1,inches_0_01,6,42.0,41.0,41.0,40.9,,,225.00,225.00
2024-11-01 12:30:00,1730453400,5.611111111111111111111111111,5.611111111111111111111111111,5.555555555555555555555555556,93.0,40.2,0.44,SW,0.40,0.89,SSE,,751.71,0.01,0.05,16.22,43.0,6.40,348,15,40.2,40.1,750,1,inches_0_01,5,42.1,41.2,41.2,41.1,,,225.00,157.50
2024-11-01 12:45:00,1730454300,5.666666666666666666666666667,5.666666666666666666666666667,5.611111111111111111111111111,93.0,40.3,0.00,SW,,0.89,SW,,751.31,0.01,0.07,16.28,43.0,6.50,350,15,40.3,40.2,765,1,inches_0_01,7,42.2,41.3,41.3,41.2,,,225.00,225.00
2024-11-01 13:00:00,1730455200,5.777777777777777777777777778,5.777777777777777777777777778,5.666666666666666666666666667,93.0,40.5,0.00,SW,,0.89,SW,,750.82,0.01,0.06,16.28,44.0,7.10,350,15,40.5,40.3,780,1,inches_0_01,6,42.4,41.5,41.5,41.3,,,225.00,225.00
2024-11-01 13:15:00,1730456100,5.944444444444444444444444444,5.944444444444444444444444444,5.777777777777777777777777778,93.0,40.8,0.00,SW,,0.89,SW,,750.60,0.02,0.05,16.22,44.0,7.00,347,15,40.8,40.5,795,2,inches_0_01,5,42.7,41.8,41.8,41.5,,,225.00,225.00
2024-11-01 13:30:00,1730457000,6.055555555555555555555555556,6.055555555555555555555555556,5.944444444444444444444444444,93.0,41.0,0.00,SW,,0.44,SW,,750.32,0.01,0.08,16.22,44.0,7.00,350,15,41.0,40.8,810,1,inches_0_01,8,42.9,42.0,42.0,41.8,,,225.00,225.00
2024-11-01 13:45:00,1730457900,6.222222222222222222222222222,6.222222222222222222222222222,6.055555555555555555555555556,94.0,41.6,0.44,SW,0.40,0.89,SW,,750.04,0.04,0.35,16.28,45.0,7.70,349,15,41.6,41.3,825,4,inches_0_01,35,43.2,42.4,42.4,42.1,,,225.00,225.00
2024-11-01 14:00:00,1730458800,6.388888888888888888888888889,6.444444444444444444444444444,6.222222222222222222222222222,93.0,41.6,0.44,NW,0.40,0.89,SW,,749.68,0.04,0.17,16.22,45.0,7.60,351,15,41.7,41.3,840,4,inches_0_01,17,43.5,42.6,42.7,42.3,,,315.00,225.00
2024-11-01 14:15:00,1730459700,6.5,6.5,6.388888888888888888888888889,94.0,42.1,0.00,E,,1.33,E,,749.20,0.03,0.15,16.22,45.0,7.60,349,15,42.1,41.9,855,3,inches_0_01,15,43.7,42.9,42.9,42.7,,,90.00,90.00
2024-11-01 14:30:00,1730460600,6.777777777777777777777777778,6.777777777777777777777777778,6.5,94.0,42.6,0.44,S,0.40,1.78,S,,748.82,0.02,0.16,16.33,45.0,7.80,351,15,42.6,42.1,870,2,inches_0_01,16,44.2,43.4,43.4,42.9,,,180.00,180.00
2024-11-01 14:45:00,1730461500,7.222222222222222222222222222,7.222222222222222222222222222,6.777777777777777777777777778,94.0,43.4,0.89,S,0.80,2.67,SSE,,748.66,0.03,0.16,16.28,45.0,7.70,349,15,43.4,42.6,885,3,inches_0_01,16,45.0,44.2,44.2,43.4,,,180.00,157.50
2024-11-01 15:00:00,1730462400,7.666666666666666666666666667,7.666666666666666666666666667,7.277777777777777777777777778,94.0,44.1,1.33,SSE,1.20,3.11,S,,748.26,0.03,0.14,16.39,46.0,8.40,351,15,44.1,43.5,900,3,inches_0_01,14,45.8,45.0,45.0,44.3,,,157.50,180.00
2024-11-01 15:15:00,1730463300,7.944444444444444444444444444,7.944444444444444444444444444,7.666666666666666666666666667,92.0,44.1,1.33,SSE,1.20,3.56,SE,,748.00,0.01,0.08,16.39,46.0,8.40,348,15,44.1,43.6,915,1,inches_0_01,8,46.3,45.2,45.2,44.7,,,157.50,135.00
2024-11-01 15:30:00,1730464200,8.111111111111111111111111111,8.111111111111111111111111111,7.944444444444444444444444444,92.0,44.4,1.33,SSE,1.20,4.44,SSE,,747.83,0.02,0.09,16.33,47.0,8.90,350,15,44.4,44.1,930,2,inches_0_01,9,46.6,45.5,45.5,45.2,,,157.50,157.50
2024-11-01 15:45:00,1730465100,8.277777777777777777777777778,8.277777777777777777777777778,8.111111111111111111111111111,92.0,44.7,1.33,SSE,1.20,3.11,SSE,,747.50,0.03,0.11,16.44,47.0,9.10,351,15,44.7,44.4,945,3,inches_0_01,11,46.9,45.8,45.8,45.5,,,157.50,157.50
2024-11-01 16:00:00,1730466000,8.388888888888888888888888889,8.388888888888888888888888889,8.277777777777777777777777778,91.0,44.6,1.33,S,1.20,3.56,SSW,,747.22,0.02,0.10,16.50,47.0,9.20,350,15,44.6,44.4,960,2,inches_0_01,10,47.1,45.8,45.8,45.6,,,180.00,202.50
2024-11-01 16:15:00,1730466900,8.5,8.5,8.388888888888888888888888889,91.0,44.8,1.33,S,1.20,3.56,SSW,,746.86,0.02,0.09,16.44,48.0,9.60,350,15,44.8,44.6,975,2,inches_0_01,9,47.3,46.0,46.0,45.8,,,180.00,202.50
2024-11-01 16:30:00,1730467800,8.611111111111111111111111111,8.611111111111111111111111111,8.444444444444444444444444444,91.0,45.0,1.33,SSE,1.20,3.11,S,,746.58,0.02,0.15,16.56,48.0,9.80,349,15,45.0,44.7,990,2,inches_0_01,15,47.5,46.2,46.2,45.9,,,157.50,180.00
2024-11-01 16:45:00,1730468700,8.666666666666666666666666667,8.722222222222222222222222222,8.555555555555555555555555556,91.0,45.1,1.33,SSE,1.20,4.44,SSE,,746.23,0.02,0.15,16.61,48.0,9.90,351,15,45.2,44.9,1005,2,inches_0_01,15,47.6,46.3,46.4,46.1,,,157.50,157.50
2024-11-01 17:00:00,1730469600,8.833333333333333333333333333,8.833333333333333333333333333,8.666666666666666666666666667,91.0,45.4,1.78,SSE,1.60,5.33,SSE,,746.02,0.03,0.11,16.61,48.0,9.90,351,15,45.4,45.1,1020,3,inches_0_01,11,47.9,46.6,46.6,46.3,,,157.50,157.50
2024-11-01 17:15:00,1730470500,8.833333333333333333333333333,8.888888888888888888888888889,8.833333333333333333333333333,91.0,45.4,1.33,SSE,1.20,5.33,SSE,,745.92,0.05,0.29,16.72,49.0,10.60,350,15,45.5,45.4,1035,5,inches_0_01,29,47.9,46.6,46.7,46.6,,,157.50,157.50
2024-11-01 17:30:00,1730471400,9.055555555555555555555555556,9.055555555555555555555555556,8.833333333333333333333333333,91.0,45.8,2.67,SSE,2.40,7.56,SSE,,745.57,0.04,0.30,16.72,49.0,10.60,351,15,45.8,45.4,1050,4,inches_0_01,30,48.3,47.0,47.0,46.6,,,157.50,157.50
2024-11-01 17:45:00,1730472300,9.166666666666666666666666667,9.166666666666666666666666667,9.0,91.0,46.0,2.22,SSE,2.00,4.44,SE,,745.26,0.03,0.14,16.78,50.0,11.20,351,15,46.0,45.7,1065,3,inches_0_01,14,48.5,47.2,47.2,46.9,,,157.50,135.00
2024-11-01 18:00:00,1730473200,9.277777777777777777777777778,9.277777777777777777777777778,9.111111111111111111111111111,91.0,46.2,2.22,SSE,2.00,4.44,SSE,,745.08,0.01,0.10,16.83,50.0,11.30,349,15,46.2,45.9,1080,1,inches_0_01,10,48.7,47.4,47.4,47.1,,,157.50,157.50
2024-11-01 18:15:00,1730474100,9.388888888888888888888888889,9.388888888888888888888888889,9.277777777777777777777777778,91.0,46.4,2.22,SSE,2.00,4.44,SSE,,744.91,0.03,0.11,16.78,50.0,11.20,350,15,46.4,46.2,1095,3,inches_0_01,11,48.9,47.6,47.6,47.4,,,157.50,157.50
2024-11-01 18:30:00,1730475000,9.444444444444444444444444444,9.5,9.388888888888888888888888889,91.0,46.4,2.22,SSE,2.00,5.78,SSE,,744.58,0.03,0.24,16.89,51.0,11.90,349,15,46.5,46.4,1110,3,inches_0_01,24,49.0,47.7,47.8,47.6,,,157.50,157.50
2024-11-01 18:45:00,1730475900,9.444444444444444444444444444,9.555555555555555555555555556,9.444444444444444444444444444,92.0,46.7,1.78,SSE,1.60,4.44,SSE,,744.55,0.02,0.15,16.94,51.0,12.00,350,15,46.9,46.7,1125,2,inches_0_01,15,49.0,47.8,48.0,47.8,,,157.50,157.50
2024-11-01 19:00:00,1730476800,9.555555555555555555555555556,9.555555555555555555555555556,9.444444444444444444444444444,92.0,46.9,1.33,SSE,1.20,3.11,SSE,,744.17,0.03,0.25,16.94,51.0,12.00,348,15,46.9,46.7,1140,3,inches_0_01,25,49.2,48.0,48.0,47.8,,,157.50,157.50
2024-11-01 19:15:00,1730477700,9.611111111111111111111111111,9.611111111111111111111111111,9.5,92.0,47.0,1.33,SSE,1.20,2.67,ESE,,743.99,0.03,0.25,17.11,52.0,12.80,350,15,47.0,46.8,1155,3,inches_0_01,25,49.3,48.1,48.1,47.9,,,157.50,112.50
2024-11-01 19:30:00,1730478600,10.0,10.0,9.611111111111111111111111111,92.0,47.7,2.22,SSE,2.00,6.67,SE,,743.76,0.06,0.82,17.06,52.0,12.70,351,15,47.7,47.0,1170,6,inches_0_01,82,50.0,48.8,48.8,48.1,,,157.50,135.00
2024-11-01 19:45:00,1730479500,10.16666666666666666666666667,10.22222222222222222222222222,10.0,91.0,47.7,1.78,SSE,1.60,5.33,SSE,,743.36,0.01,0.26,17.22,52.0,13.00,348,15,47.8,47.4,1185,1,inches_0_01,26,50.3,48.9,49.0,48.6,,,157.50,157.50
2024-11-01 20:00:00,1730480400,10.33333333333333333333333333,10.33333333333333333333333333,10.16666666666666666666666667,91.0,48.0,2.67,SSE,2.40,5.78,SSE,,743.05,0.04,0.50,17.28,53.0,13.60,346,15,48.0,47.7,1200,4,inches_0_01,50,50.6,49.2,49.2,48.9,,,157.50,157.50
2024-11-01 20:15:00,1730481300,10.33333333333333333333333333,10.44444444444444444444444444,10.33333333333333333333333333,88.0,47.1,2.22,SE,2.00,9.33,SE,,743.48,0.11,1.44,17.28,53.0,13.60,350,15,47.3,47.1,1215,11,inches_0_01,144,50.6,48.8,49.0,48.8,,,135.00,135.00
2024-11-01 20:30:00,1730482200,10.05555555555555555555555556,10.38888888888888888888888889,10.05555555555555555555555556,85.0,45.7,1.33,E,1.20,6.67,SE,,743.25,0.00,0.04,17.39,53.0,13.80,350,15,46.3,45.7,1230,0,inches_0_01,4,50.1,47.8,48.4,47.8,,,90.00,135.00
2024-11-01 20:45:00,1730483100,9.611111111111111111111111111,10.05555555555555555555555556,9.611111111111111111111111111,84.0,44.6,0.89,NNW,0.80,1.78,NW,,743.89,0.00,0.00,17.33,53.0,13.70,351,15,45.4,44.6,1245,0,inches_0_01,0,49.3,46.9,47.7,46.9,,,337.50,315.00
2024-11-01 21:00:00,1730484000,9.333333333333333333333333333,9.611111111111111111111111111,9.333333333333333333333333333,86.0,44.8,0.89,E,0.80,3.56,ESE,,743.58,0.00,0.00,17.44,52.0,13.40,348,15,45.3,44.8,1260,0,inches_0_01,0,48.8,46.7,47.2,46.7,,,90.00,112.50
